Phone_Names,Price,Links
"REDMI 10 Power (Power Black, 128 GB)","₹8,999",https://www.flipkart.com/redmi-10-power-power-black-128-gb/p/itm17561f2c0c6b6?pid=MOBGSYMFPHKSJTWH&lid=LSTMOBGSYMFPHKSJTWHKDSN4Q&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBGSYMFPHKSJTWH.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Xiaomi 11i 5G (Purple Mist, 128 GB)","₹8,999",https://www.flipkart.com/xiaomi-11i-5g-purple-mist-128-gb/p/itmb0fd5926fb0d5?pid=MOBG9QXPXZTUYDY8&lid=LSTMOBG9QXPXZTUYDY81BBAEL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBG9QXPXZTUYDY8.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Mi 11X (Cosmic Black, 128 GB)","₹8,999",https://www.flipkart.com/mi-11x-cosmic-black-128-gb/p/itm005c4d8bec540?pid=MOBG36HS3TH4YR3G&lid=LSTMOBG36HS3TH4YR3G7QOO9J&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBG36HS3TH4YR3G.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Mi 10T (Cosmic Black, 128 GB)","₹8,999",https://www.flipkart.com/mi-10t-cosmic-black-128-gb/p/itm868408729a66b?pid=MOBGRFKNZAFK2WHS&lid=LSTMOBGRFKNZAFK2WHSVNC0KN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBGRFKNZAFK2WHS.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Redmi 9A Sport (Metallic Blue, 32 GB)","₹8,999",https://www.flipkart.com/redmi-9a-sport-metallic-blue-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFXX4VJAC9&lid=LSTMOBGHDXFXX4VJAC9K86CT1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBGHDXFXX4VJAC9.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Redmi 9A Sport (Carbon Black, 32 GB)","₹8,999",https://www.flipkart.com/redmi-9a-sport-carbon-black-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFS8EKH8GK&lid=LSTMOBGHDXFS8EKH8GK5CKZVM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBGHDXFS8EKH8GK.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Redmi 9A Sport (Coral Green, 32 GB)","₹8,999",https://www.flipkart.com/redmi-9a-sport-coral-green-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFNHYHCSEU&lid=LSTMOBGHDXFNHYHCSEUDWNXXM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBGHDXFNHYHCSEU.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Redmi 9A Sport (Metallic Blue, 32 GB)","₹8,999",https://www.flipkart.com/redmi-9a-sport-metallic-blue-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFVQCUTWYA&lid=LSTMOBGHDXFVQCUTWYAB1HXQC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBGHDXFVQCUTWYA.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Redmi 9A (Midnight Black, 32 GB)","₹8,999",https://www.flipkart.com/redmi-9a-midnight-black-32-gb/p/itmeabd39a0cd669?pid=MOBFVDAYRH3GYNZT&lid=LSTMOBFVDAYRH3GYNZTQPA1PQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBFVDAYRH3GYNZT.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Redmi Note 4 (Black, 32 GB)","₹8,999",https://www.flipkart.com/redmi-note-4-black-32-gb/p/itmeqe4htst9587b?pid=MOBEQ98THNGR4FD5&lid=LSTMOBEQ98THNGR4FD5CTZRZE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBEQ98THNGR4FD5.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Redmi Y2 (Gold, 64 GB)","₹8,999",https://www.flipkart.com/redmi-y2-gold-64-gb/p/itmfdkcmzchdrf3m?pid=MOBF7Y2DKUBEDUWH&lid=LSTMOBF7Y2DKUBEDUWHRAZ259&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBF7Y2DKUBEDUWH.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"REDMI Note 11 Pro (Phantom White, 128 GB)","₹8,999",https://www.flipkart.com/redmi-note-11-pro-phantom-white-128-gb/p/itme7022ee103b26?pid=MOBGHDXFUUKAHQR3&lid=LSTMOBGHDXFUUKAHQR38X0ALF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBGHDXFUUKAHQR3.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Xiaomi 12 Pro 5G (Noir Black, 256 GB)","₹8,999",https://www.flipkart.com/xiaomi-12-pro-5g-noir-black-256-gb/p/itm67bddf0d43d59?pid=MOBGDZ84RS67ZTEP&lid=LSTMOBGDZ84RS67ZTEPVWOBEX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBGDZ84RS67ZTEP.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"REDMI 10 Power (Sporty Orange, 128 GB)","₹8,999",https://www.flipkart.com/redmi-10-power-sporty-orange-128-gb/p/itm97f5d2ec83588?pid=MOBGHDXFV9PCSYXV&lid=LSTMOBGHDXFV9PCSYXVKKVBRJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBGHDXFV9PCSYXV.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"REDMI 10 Power (Power Black, 128 GB)","₹8,999",https://www.flipkart.com/redmi-10-power-power-black-128-gb/p/itm97f5d2ec83588?pid=MOBGHDXFYKKZFZGV&lid=LSTMOBGHDXFYKKZFZGVRXLWDB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBGHDXFYKKZFZGV.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Redmi 9A (Nature Green, 32 GB)","₹8,999",https://www.flipkart.com/redmi-9a-nature-green-32-gb/p/itmeabd39a0cd669?pid=MOBFVDA5QCGNZKH9&lid=LSTMOBFVDA5QCGNZKH9LMSS7T&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBFVDA5QCGNZKH9.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Redmi 10 Prime (Astral White, 64 GB)","₹8,999",https://www.flipkart.com/redmi-10-prime-astral-white-64-gb/p/itm4f601c2dd0f55?pid=MOBGK2GFFXXTKPJT&lid=LSTMOBGK2GFFXXTKPJTDYRBGC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBGK2GFFXXTKPJT.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Mi 11 Lite (Jazz Blue, 128 GB)","₹8,999",https://www.flipkart.com/mi-11-lite-jazz-blue-128-gb/p/itme2c379bf49448?pid=MOBG3VSKEVZ3JQVM&lid=LSTMOBG3VSKEVZ3JQVMEAH3XH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBG3VSKEVZ3JQVM.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Xiaomi 12 Pro 5G (Couture Blue, 256 GB)","₹8,999",https://www.flipkart.com/xiaomi-12-pro-5g-couture-blue-256-gb/p/itm81ed02fcf3968?pid=MOBGDZ895FVSKXZU&lid=LSTMOBGDZ895FVSKXZU1M1VVC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBGDZ895FVSKXZU.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"10A (Black, 64 GB)","₹8,999",https://www.flipkart.com/10a-black-64-gb/p/itma86b238245d8a?pid=MOBGZXQ5ATBHASRJ&lid=LSTMOBGZXQ5ATBHASRJZJGPFA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBGZXQ5ATBHASRJ.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Xiaomi 12 Pro 5G (Noir Black, 256 GB)","₹8,999",https://www.flipkart.com/xiaomi-12-pro-5g-noir-black-256-gb/p/itm0d1601b39b8bb?pid=MOBGDZ72AVDBGA66&lid=LSTMOBGDZ72AVDBGA66GJKTUU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBGDZ72AVDBGA66.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Redmi 9 (Sky Blue, 64 GB)","₹8,999",https://www.flipkart.com/redmi-9-sky-blue-64-gb/p/itm4fb151383983b?pid=MOBFV5FPUS8UHG9H&lid=LSTMOBFV5FPUS8UHG9HPWO67M&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBFV5FPUS8UHG9H.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Redmi 9A Sport (Coral Green, 32 GB)","₹8,999",https://www.flipkart.com/redmi-9a-sport-coral-green-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFKYSE5TPK&lid=LSTMOBGHDXFKYSE5TPKADXYUE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBGHDXFKYSE5TPK.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
"Redmi 6 (Rose Gold, 32 GB)","₹8,999",https://www.flipkart.com/redmi-6-rose-gold-32-gb/p/itmf9f64fpjkbdxp?pid=MOBF9F64HGNTYHDB&lid=LSTMOBF9F64HGNTYHDBGGNTPT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=d8b0f4f8-58cf-4a72-8e56-d49151b35708.MOBF9F64HGNTYHDB.SEARCH&ppt=None&ppn=None&ssid=0i0bsvkjls0000001706341390136
