Phone_Names,Price,Discount
Apple iPhone 15 128GB Blue,"₹81,900.00",8% OFF
"Realme C55 DLC 64GB, 4 GB RAM, Sunshower, Mobile Phone","₹81,900.00",8% OFF
Apple iPhone 15 256GB Blue,"₹81,900.00",8% OFF
"Poco C series C 51 64 GB, 4 GB RAM, Power Black, Mobile Phone","₹81,900.00",8% OFF
"OnePlus Nord CE 3 Lite 5G 256 GB, 8 GB RAM, Pastel Lime, Mobile Phone","₹81,900.00",8% OFF
"Apple iPhone 15 Plus 128 GB, Blue","₹81,900.00",8% OFF
"OnePlus Nord CE 3 Lite 5G 256 GB, 8 GB RAM, Chromatic Gray, Mobile Phone","₹81,900.00",8% OFF
"Poco C series C 51 64 GB, 4 GB RAM, Royal Blue, Mobile Phone","₹81,900.00",8% OFF
"Realme C55 DLC 64GB, 4 GB RAM, Rainforest, Mobile Phone","₹81,900.00",8% OFF
"POCO M6 5G, 6GB RAM, 128GB ROM, Orion Blue, Smartphone","₹81,900.00",8% OFF
Apple iPhone 15 128GB Black,"₹81,900.00",8% OFF
"Apple iPhone 15 Plus 128 GB, Black","₹81,900.00",8% OFF
